row,veto_data
50,"['1. Boop Boop Gang banned Ancient', '2. bag talk banned Vertigo', '3. bag talk banned Anubis', '4. Boop Boop Gang banned Inferno', '5. Boop Boop Gang banned Dust2', '6. bag talk banned Nuke', '7. Mirage picked by default']"
258,"['1. Boop Boop Gang banned Ancient', '2. Squeegee banned Inferno', '3. Squeegee banned Nuke', '4. Boop Boop Gang banned Anubis', '5. Boop Boop Gang banned Vertigo', '6. Squeegee banned Dust2', '7. Mirage picked by default']"
380,"['1. Boop Boop Gang banned Ancient', '2. Amped Red banned Vertigo', '3. Amped Red banned Anubis', '4. Boop Boop Gang banned Inferno', '5. Boop Boop Gang banned Dust2', '6. Amped Red banned Mirage', '7. Nuke picked by default']"
506,"['1. Boop Boop Gang banned Ancient', '2. Phase3 banned Mirage', '3. Phase3 banned Vertigo', '4. Boop Boop Gang banned Anubis', '5. Boop Boop Gang banned Dust2', '6. Phase3 banned Nuke', '7. Inferno picked by default']"
628,[]
731,"['1. AH NightWatch banned Nuke', '2. Boop Boop Gang banned Dust2', '3. Boop Boop Gang banned Ancient', '4. AH NightWatch banned Vertigo', '5. AH NightWatch banned Mirage', '6. Boop Boop Gang banned Inferno', '7. Anubis picked by default']"
851,"['1. Amped Red banned Dust2', '2. Boop Boop Gang banned Ancient', '3. Nuke picked by Amped Red', '4. Mirage picked by Boop Boop Gang', '5. Amped Red banned Vertigo', '6. Boop Boop Gang banned Inferno', '7. Anubis picked by default']"
981,"['1. Boop Boop Gang banned Ancient', '2. LimitlessAngels banned Vertigo', '3. Anubis picked by Boop Boop Gang', '4. Inferno picked by LimitlessAngels', '5. Boop Boop Gang banned Dust2', '6. LimitlessAngels banned Nuke', '7. Mirage picked by default']"
1101,"['1. Boop Boop Gang banned Vertigo', '2. who cares banned Anubis', '3. Inferno picked by Boop Boop Gang', '4. Ancient picked by who cares', '5. Boop Boop Gang banned Dust2', '6. who cares banned Nuke', '7. Mirage picked by default']"
1230,"['1. PodStolom Gmng banned Vertigo', '2. Boop Boop Gang banned Ancient', '3. Inferno picked by PodStolom Gmng', '4. Dust2 picked by Boop Boop Gang', '5. PodStolom Gmng banned Nuke', '6. Boop Boop Gang banned Anubis', '7. Mirage picked by default']"
1346,"['1. United Nutsacks banned Vertigo', '2. Boop Boop Gang banned Ancient', '3. Boop Boop Gang banned Nuke', '4. United Nutsacks banned Overpass', '5. United Nutsacks banned Mirage', '6. Boop Boop Gang banned Inferno', '7. Anubis picked by default']"
1457,[]
1647,"['1. NEKST banned Anubis', '2. Boop Boop Gang banned Ancient', '3. Boop Boop Gang banned Inferno', '4. NEKST banned Vertigo', '5. NEKST banned Overpass', '6. Boop Boop Gang banned Nuke', '7. Mirage picked by default']"
