row,veto_data
42,"['1. Steamy Shooters banned Nuke', '2. Death By Gamers banned Ancient', '3. Death By Gamers banned Vertigo', '4. Steamy Shooters banned Dust2', '5. Steamy Shooters banned Mirage', '6. Death By Gamers banned Anubis', '7. Inferno picked by default']"
215,"['1. Death By Gamers banned Ancient', '2. Barely Thriving banned Dust2', '3. Barely Thriving banned Mirage', '4. Death By Gamers banned Vertigo', '5. Death By Gamers banned Nuke', '6. Barely Thriving banned Inferno', '7. Anubis picked by default']"
391,"['1. Soarin N Fourin banned Inferno', '2. Death By Gamers banned Ancient', '3. Death By Gamers banned Mirage', '4. Soarin N Fourin banned Dust2', '5. Soarin N Fourin banned Nuke', '6. Death By Gamers banned Vertigo', '7. Anubis picked by default']"
549,"['1. Death By Gamers banned Ancient', '2. Kaos banned Nuke', '3. Kaos banned Mirage', '4. Death By Gamers banned Vertigo', '5. Death By Gamers banned Anubis', '6. Kaos banned Dust2', '7. Inferno picked by default']"
713,"['1. Death By Gamers banned Mirage', '2. MIGHT x Gripgel banned Inferno', '3. MIGHT x Gripgel banned Dust2', '4. Death By Gamers banned Vertigo', '5. Death By Gamers banned Ancient', '6. MIGHT x Gripgel banned Anubis', '7. Nuke picked by default']"
866,"['1. Team Phys banned Mirage', '2. Death By Gamers banned Vertigo', '3. Death By Gamers banned Ancient', '4. Team Phys banned Inferno', '5. Team Phys banned Nuke', '6. Death By Gamers banned Anubis', '7. Dust2 picked by default']"
1023,"['1. powerFinesse banned Mirage', '2. Death By Gamers banned Ancient', '3. Death By Gamers banned Anubis', '4. powerFinesse banned Vertigo', '5. powerFinesse banned Inferno', '6. Death By Gamers banned Dust2', '7. Nuke picked by default']"
1193,[]
1352,[]
1563,"['1. Death By Gamers banned Nuke', '2. MCS Gaming banned Vertigo', '3. Inferno picked by Death By Gamers', '4. Mirage picked by MCS Gaming', '5. Death By Gamers banned Dust2', '6. MCS Gaming banned Ancient', '7. Anubis picked by default']"
1720,"['1. Death By Gamers banned Mirage', '2. Epochal Esports banned Vertigo', '3. Anubis picked by Death By Gamers', '4. Inferno picked by Epochal Esports', '5. Death By Gamers banned Nuke', '6. Epochal Esports banned Dust2', '7. Ancient picked by default']"
1887,"['1. team_m4zzai banned 1v1 Aim Map', '2. Death By Gamers banned Aim Night', '3. team_m4zzai banned Pool Day', '4. Death By Gamers banned AIM Crash Dust 1on1', '5. team_m4zzai banned AIM Puma', '6. Death By Gamers banned Redline', '7. AIM Map Classic picked by default']"
2072,"['1. team_eDcoy banned AIM Puma', '2. Death By Gamers banned Redline', '3. team_eDcoy banned AIM Crash Dust 1on1', '4. Death By Gamers banned 1v1 Aim Map', '5. team_eDcoy banned Pool Day', '6. Death By Gamers banned AIM Map Classic', '7. Aim Night picked by default']"
2230,"['1. Kingdom banned Vertigo', '2. Death By Gamers banned Nuke', '3. Mirage picked by Kingdom', '4. Inferno picked by Death By Gamers', '5. Kingdom banned Ancient', '6. Death By Gamers banned Anubis', '7. Dust2 picked by default']"
2398,"['1. Revenge Nation banned Nuke', '2. Death By Gamers banned Mirage', '3. Anubis picked by Revenge Nation', '4. Vertigo picked by Death By Gamers', '5. Revenge Nation banned Inferno', '6. Death By Gamers banned Dust2', '7. Ancient picked by default']"
2571,"['1. Death By Gamers banned Vandal', '2. team_ibigblue banned Inferno', '3. Death By Gamers banned Assembly', '4. team_ibigblue banned Vertigo', '5. Death By Gamers banned Dorf', '6. team_ibigblue banned Overpass', '7. Death By Gamers banned Brewery', '8. team_ibigblue banned Nuke', '9. Death By Gamers banned Foroglio', '10. Ravine picked by default']"
2730,"['1. team_blakert- banned Nuke', '2. Death By Gamers banned Ravine', '3. team_blakert- banned Overpass', '4. Death By Gamers banned Dorf', '5. team_blakert- banned Vertigo', '6. Death By Gamers banned Inferno', '7. team_blakert- banned Assembly', '8. Death By Gamers banned Brewery', '9. team_blakert- banned Foroglio', '10. Vandal picked by default']"
2892,[]
3114,"['1. Death By Gamers banned Mirage', '2. Scrimless banned Ancient', '3. Death By Gamers banned Inferno', '4. Scrimless banned Vertigo', '5. Death By Gamers banned Nuke', '6. Scrimless banned Dust2', '7. Anubis picked by default']"
