row,veto_data
45,"['1. LukGudPlayGud banned Vertigo', '2. Hedgehogs banned Inferno', '3. Hedgehogs banned Mirage', '4. LukGudPlayGud banned Anubis', '5. LukGudPlayGud banned Dust2', '6. Hedgehogs banned Nuke', '7. Ancient picked by default']"
143,"['1. Realistic banned Dust2', '2. LukGudPlayGud banned Vertigo', '3. LukGudPlayGud banned Mirage', '4. Realistic banned Anubis', '5. Realistic banned Ancient', '6. LukGudPlayGud banned Nuke', '7. Inferno picked by default']"
217,"['1. OK2STRONG banned Anubis', '2. LukGudPlayGud banned Vertigo', '3. LukGudPlayGud banned Ancient', '4. OK2STRONG banned Inferno', '5. OK2STRONG banned Nuke', '6. LukGudPlayGud banned Dust2', '7. Mirage picked by default']"
306,"['1. LukGudPlayGud banned Vertigo', '2. Soarin N Fourin banned Dust2', '3. Soarin N Fourin banned Mirage', '4. LukGudPlayGud banned Anubis', '5. LukGudPlayGud banned Nuke', '6. Soarin N Fourin banned Inferno', '7. Ancient picked by default']"
383,"['1. LukGudPlayGud banned Vertigo', '2. ViEnDi banned Nuke', '3. Inferno picked by LukGudPlayGud', '4. Anubis picked by ViEnDi', '5. LukGudPlayGud banned Mirage', '6. ViEnDi banned Dust2', '7. Ancient picked by default']"
464,"['1. Algorithm 16 banned Inferno', '2. LukGudPlayGud banned Vertigo', '3. Anubis picked by Algorithm 16', '4. Nuke picked by LukGudPlayGud', '5. Algorithm 16 banned Dust2', '6. LukGudPlayGud banned Ancient', '7. Mirage picked by default']"
548,"['1. drive banned Vertigo', '2. LukGudPlayGud banned Anubis', '3. Inferno picked by drive', '4. Ancient picked by LukGudPlayGud', '5. drive banned Nuke', '6. LukGudPlayGud banned Mirage', '7. Dust2 picked by default']"
629,"['1. Four Sexy Guys banned Inferno', '2. LukGudPlayGud banned Vertigo', '3. Anubis picked by Four Sexy Guys', '4. Ancient picked by LukGudPlayGud', '5. Four Sexy Guys banned Nuke', '6. LukGudPlayGud banned Mirage', '7. Dust2 picked by default']"
722,[]
799,"['1. Favela Monkas banned Vertigo', '2. LukGudPlayGud banned Mirage', '3. LukGudPlayGud banned Overpass', '4. Favela Monkas banned Ancient', '5. Favela Monkas banned Anubis', '6. LukGudPlayGud banned Nuke', '7. Inferno picked by default']"
876,"['1. Zen Garden banned Mirage', '2. LukGudPlayGud banned Vertigo', '3. LukGudPlayGud banned Overpass', '4. Zen Garden banned Inferno', '5. Zen Garden banned Nuke', '6. LukGudPlayGud banned Ancient', '7. Anubis picked by default']"
970,[]
1060,"['1. LukGudPlayGud banned Vertigo', '2. PriorityDiamond banned Inferno', '3. PriorityDiamond banned Nuke', '4. LukGudPlayGud banned Mirage', '5. LukGudPlayGud banned Overpass', '6. PriorityDiamond banned Anubis', '7. Ancient picked by default']"
1143,"['1. LukGudPlayGud banned Vertigo', '2. Samantha 2 banned Overpass', '3. Samantha 2 banned Nuke', '4. LukGudPlayGud banned Mirage', '5. LukGudPlayGud banned Ancient', '6. Samantha 2 banned Inferno', '7. Anubis picked by default']"
1240,"['1. Algorithm 16 banned Inferno', '2. LukGudPlayGud banned Vertigo', '3. LukGudPlayGud banned Mirage', '4. Algorithm 16 banned Anubis', '5. Algorithm 16 banned Nuke', '6. LukGudPlayGud banned Overpass', '7. Ancient picked by default']"
1325,"['1. Strafe Cru banned Mirage', '2. LukGudPlayGud banned Anubis', '3. LukGudPlayGud banned Vertigo', '4. Strafe Cru banned Inferno', '5. Strafe Cru banned Overpass', '6. LukGudPlayGud banned Nuke', '7. Ancient picked by default']"
1408,"['1. L8R H8R banned Mirage', '2. LukGudPlayGud banned Vertigo', '3. LukGudPlayGud banned Anubis', '4. L8R H8R banned Nuke', '5. L8R H8R banned Overpass', '6. LukGudPlayGud banned Ancient', '7. Inferno picked by default']"
1493,"['1. Ape Cage banned Ancient', '2. LukGudPlayGud banned Anubis', '3. LukGudPlayGud banned Nuke', '4. Ape Cage banned Vertigo', '5. Ape Cage banned Overpass', '6. LukGudPlayGud banned Mirage', '7. Inferno picked by default']"
1579,"['1. Brick Layers banned Mirage', '2. LukGudPlayGud banned Ancient', '3. LukGudPlayGud banned Vertigo', '4. Brick Layers banned Overpass', '5. Brick Layers banned Nuke', '6. LukGudPlayGud banned Anubis', '7. Inferno picked by default']"
1663,"['1. Yam Squad banned Nuke', '2. LukGudPlayGud banned Anubis', '3. LukGudPlayGud banned Overpass', '4. Yam Squad banned Mirage', '5. Yam Squad banned Vertigo', '6. LukGudPlayGud banned Ancient', '7. Inferno picked by default']"
