veto1,veto2,veto3,veto4,veto5,veto6,veto7
Boop Boop Gang banned Ancient,bag talk banned Vertigo,bag talk banned Anubis,Boop Boop Gang banned Inferno,Boop Boop Gang banned Dust2,bag talk banned Nuke,Mirage picked by default
Boop Boop Gang banned Ancient,Squeegee banned Inferno,Squeegee banned Nuke,Boop Boop Gang banned Anubis,Boop Boop Gang banned Vertigo,Squeegee banned Dust2,Mirage picked by default
Boop Boop Gang banned Ancient,Amped Red banned Vertigo,Amped Red banned Anubis,Boop Boop Gang banned Inferno,Boop Boop Gang banned Dust2,Amped Red banned Mirage,Nuke picked by default
Boop Boop Gang banned Ancient,Phase3 banned Mirage,Phase3 banned Vertigo,Boop Boop Gang banned Anubis,Boop Boop Gang banned Dust2,Phase3 banned Nuke,Inferno picked by default
AH NightWatch banned Nuke,Boop Boop Gang banned Dust2,Boop Boop Gang banned Ancient,AH NightWatch banned Vertigo,AH NightWatch banned Mirage,Boop Boop Gang banned Inferno,Anubis picked by default
Amped Red banned Dust2,Boop Boop Gang banned Ancient,Nuke picked by Amped Red,Mirage picked by Boop Boop Gang,Amped Red banned Vertigo,Boop Boop Gang banned Inferno,Anubis picked by default
Boop Boop Gang banned Ancient,LimitlessAngels banned Vertigo,Anubis picked by Boop Boop Gang,Inferno picked by LimitlessAngels,Boop Boop Gang banned Dust2,LimitlessAngels banned Nuke,Mirage picked by default
Boop Boop Gang banned Vertigo,who cares banned Anubis,Inferno picked by Boop Boop Gang,Ancient picked by who cares,Boop Boop Gang banned Dust2,who cares banned Nuke,Mirage picked by default
PodStolom Gmng banned Vertigo,Boop Boop Gang banned Ancient,Inferno picked by PodStolom Gmng,Dust2 picked by Boop Boop Gang,PodStolom Gmng banned Nuke,Boop Boop Gang banned Anubis,Mirage picked by default
United Nutsacks banned Vertigo,Boop Boop Gang banned Ancient,Boop Boop Gang banned Nuke,United Nutsacks banned Overpass,United Nutsacks banned Mirage,Boop Boop Gang banned Inferno,Anubis picked by default
NEKST banned Anubis,Boop Boop Gang banned Ancient,Boop Boop Gang banned Inferno,NEKST banned Vertigo,NEKST banned Overpass,Boop Boop Gang banned Nuke,Mirage picked by default
ProjectFidelity banned Mirage,Boop Boop Gang banned Ancient,Boop Boop Gang banned Inferno,ProjectFidelity banned Overpass,ProjectFidelity banned Nuke,Boop Boop Gang banned Vertigo,Anubis picked by default
Space Force banned Inferno,Boop Boop Gang banned Vertigo,Boop Boop Gang banned Ancient,Space Force banned Nuke,Space Force banned Overpass,Boop Boop Gang banned Anubis,Mirage picked by default
Boop Boop Gang banned Inferno,We Play Naked banned Overpass,We Play Naked banned Mirage,Boop Boop Gang banned Vertigo,Boop Boop Gang banned Ancient,We Play Naked banned Anubis,Nuke picked by default
Boop Boop Gang banned Inferno,puggin4fun banned Vertigo,puggin4fun banned Anubis,Boop Boop Gang banned Ancient,Boop Boop Gang banned Mirage,puggin4fun banned Nuke,Overpass picked by default
Boop Boop Gang banned Nuke,Missing banned Inferno,Missing banned Anubis,Boop Boop Gang banned Ancient,Boop Boop Gang banned Overpass,Missing banned Mirage,Vertigo picked by default
Desolate banned Ancient,Boop Boop Gang banned Nuke,Boop Boop Gang banned Anubis,Desolate banned Inferno,Desolate banned Overpass,Boop Boop Gang banned Vertigo,Mirage picked by default
Flowsta banned Mirage,Boop Boop Gang banned Ancient,Boop Boop Gang banned Overpass,Flowsta banned Inferno,Flowsta banned Anubis,Boop Boop Gang banned Nuke,Vertigo picked by default
Conscious Gaming banned Ancient,Boop Boop Gang banned Nuke,Boop Boop Gang banned Inferno,Conscious Gaming banned Vertigo,Conscious Gaming banned Overpass,Boop Boop Gang banned Anubis,Mirage picked by default
Boop Boop Gang banned Ancient,Risky Biscuits banned Overpass,Risky Biscuits banned Inferno,Boop Boop Gang banned Nuke,Boop Boop Gang banned Vertigo,Risky Biscuits banned Anubis,Mirage picked by default
Boop Boop Gang banned Ancient,CUMBUP banned Inferno,Boop Boop Gang banned Mirage,CUMBUP banned Overpass,Boop Boop Gang banned Vertigo,CUMBUP banned Nuke,Anubis picked by default
Boop Boop Gang banned Mirage,Pawer KamBak banned Nuke,Anubis picked by Boop Boop Gang,Inferno picked by Pawer KamBak,Boop Boop Gang banned Ancient,Pawer KamBak banned Vertigo,Overpass picked by default
Small Chillin banned Overpass,Boop Boop Gang banned Ancient,Mirage picked by Small Chillin,Inferno picked by Boop Boop Gang,Small Chillin banned Anubis,Boop Boop Gang banned Nuke,Vertigo picked by default
All my fellas banned Overpass,Boop Boop Gang banned Inferno,Boop Boop Gang banned Ancient,All my fellas banned Mirage,All my fellas banned Anubis,Boop Boop Gang banned Vertigo,Nuke picked by default
Exodus banned Ancient,Boop Boop Gang banned Inferno,Boop Boop Gang banned Mirage,Exodus banned Anubis,Exodus banned Vertigo,Boop Boop Gang banned Nuke,Overpass picked by default
Calamity banned Overpass,Boop Boop Gang banned Inferno,Boop Boop Gang banned Ancient,Calamity banned Nuke,Calamity banned Mirage,Boop Boop Gang banned Vertigo,Anubis picked by default
Aether banned Nuke,Boop Boop Gang banned Inferno,Boop Boop Gang banned Ancient,Aether banned Overpass,Aether banned Mirage,Boop Boop Gang banned Vertigo,Anubis picked by default
Lucidity banned Anubis,Boop Boop Gang banned Ancient,Boop Boop Gang banned Vertigo,Lucidity banned Overpass,Lucidity banned Nuke,Boop Boop Gang banned Inferno,Mirage picked by default
frank banned Inferno,Boop Boop Gang banned Vertigo,Boop Boop Gang banned Mirage,frank banned Overpass,frank banned Nuke,Boop Boop Gang banned Ancient,Anubis picked by default
Boop Boop Gang banned Inferno,Lonely Fans banned Anubis,Lonely Fans banned Nuke,Boop Boop Gang banned Ancient,Boop Boop Gang banned Mirage,Lonely Fans banned Vertigo,Overpass picked by default
Boop Boop Gang banned Inferno,Midwest Farmers banned Mirage,Midwest Farmers banned Anubis,Boop Boop Gang banned Ancient,Boop Boop Gang banned Nuke,Midwest Farmers banned Vertigo,Overpass picked by default
Abyssal Echoes banned Nuke,Boop Boop Gang banned Inferno,Boop Boop Gang banned Mirage,Abyssal Echoes banned Vertigo,Abyssal Echoes banned Overpass,Boop Boop Gang banned Ancient,Anubis picked by default
Boop Boop Gang banned Inferno,Team Elixir banned Ancient,Team Elixir banned Anubis,Boop Boop Gang banned Mirage,Boop Boop Gang banned Vertigo,Team Elixir banned Nuke,Overpass picked by default
CUMBUP banned Overpass,Boop Boop Gang banned Mirage,Boop Boop Gang banned Inferno,CUMBUP banned Nuke,CUMBUP banned Anubis,Boop Boop Gang banned Ancient,Vertigo picked by default
Caffeinds banned Vertigo,Boop Boop Gang banned Inferno,Boop Boop Gang banned Mirage,Caffeinds banned Overpass,Caffeinds banned Ancient,Boop Boop Gang banned Anubis,Nuke picked by default
COVEN banned Nuke,Boop Boop Gang banned Inferno,Boop Boop Gang banned Mirage,COVEN banned Vertigo,COVEN banned Anubis,Boop Boop Gang banned Ancient,Overpass picked by default
Boop Boop Gang banned Mirage,Spaced 0ut banned Overpass,Spaced 0ut banned Vertigo,Boop Boop Gang banned Inferno,Boop Boop Gang banned Anubis,Spaced 0ut banned Ancient,Nuke picked by default
EXCERITUS banned Inferno,Boop Boop Gang banned Mirage,Boop Boop Gang banned Ancient,EXCERITUS banned Nuke,EXCERITUS banned Anubis,Boop Boop Gang banned Vertigo,Overpass picked by default
Mad Cats banned Mirage,Boop Boop Gang banned Inferno,Boop Boop Gang banned Anubis,Mad Cats banned Nuke,Mad Cats banned Vertigo,Boop Boop Gang banned Ancient,Overpass picked by default
Boop Boop Gang banned Mirage,Zashkvar banned Inferno,Zashkvar banned Overpass,Boop Boop Gang banned Anubis,Boop Boop Gang banned Vertigo,Zashkvar banned Ancient,Nuke picked by default
