veto1,veto2,veto3,veto4,veto5,veto6,veto7
LukGudPlayGud banned Vertigo,Hedgehogs banned Inferno,Hedgehogs banned Mirage,LukGudPlayGud banned Anubis,LukGudPlayGud banned Dust2,Hedgehogs banned Nuke,Ancient picked by default
Realistic banned Dust2,LukGudPlayGud banned Vertigo,LukGudPlayGud banned Mirage,Realistic banned Anubis,Realistic banned Ancient,LukGudPlayGud banned Nuke,Inferno picked by default
OK2STRONG banned Anubis,LukGudPlayGud banned Vertigo,LukGudPlayGud banned Ancient,OK2STRONG banned Inferno,OK2STRONG banned Nuke,LukGudPlayGud banned Dust2,Mirage picked by default
LukGudPlayGud banned Vertigo,Soarin N Fourin banned Dust2,Soarin N Fourin banned Mirage,LukGudPlayGud banned Anubis,LukGudPlayGud banned Nuke,Soarin N Fourin banned Inferno,Ancient picked by default
LukGudPlayGud banned Vertigo,ViEnDi banned Nuke,Inferno picked by LukGudPlayGud,Anubis picked by ViEnDi,LukGudPlayGud banned Mirage,ViEnDi banned Dust2,Ancient picked by default
Algorithm 16 banned Inferno,LukGudPlayGud banned Vertigo,Anubis picked by Algorithm 16,Nuke picked by LukGudPlayGud,Algorithm 16 banned Dust2,LukGudPlayGud banned Ancient,Mirage picked by default
drive banned Vertigo,LukGudPlayGud banned Anubis,Inferno picked by drive,Ancient picked by LukGudPlayGud,drive banned Nuke,LukGudPlayGud banned Mirage,Dust2 picked by default
Four Sexy Guys banned Inferno,LukGudPlayGud banned Vertigo,Anubis picked by Four Sexy Guys,Ancient picked by LukGudPlayGud,Four Sexy Guys banned Nuke,LukGudPlayGud banned Mirage,Dust2 picked by default
Favela Monkas banned Vertigo,LukGudPlayGud banned Mirage,LukGudPlayGud banned Overpass,Favela Monkas banned Ancient,Favela Monkas banned Anubis,LukGudPlayGud banned Nuke,Inferno picked by default
Zen Garden banned Mirage,LukGudPlayGud banned Vertigo,LukGudPlayGud banned Overpass,Zen Garden banned Inferno,Zen Garden banned Nuke,LukGudPlayGud banned Ancient,Anubis picked by default
LukGudPlayGud banned Vertigo,PriorityDiamond banned Inferno,PriorityDiamond banned Nuke,LukGudPlayGud banned Mirage,LukGudPlayGud banned Overpass,PriorityDiamond banned Anubis,Ancient picked by default
LukGudPlayGud banned Vertigo,Samantha 2 banned Overpass,Samantha 2 banned Nuke,LukGudPlayGud banned Mirage,LukGudPlayGud banned Ancient,Samantha 2 banned Inferno,Anubis picked by default
Algorithm 16 banned Inferno,LukGudPlayGud banned Vertigo,LukGudPlayGud banned Mirage,Algorithm 16 banned Anubis,Algorithm 16 banned Nuke,LukGudPlayGud banned Overpass,Ancient picked by default
Strafe Cru banned Mirage,LukGudPlayGud banned Anubis,LukGudPlayGud banned Vertigo,Strafe Cru banned Inferno,Strafe Cru banned Overpass,LukGudPlayGud banned Nuke,Ancient picked by default
L8R H8R banned Mirage,LukGudPlayGud banned Vertigo,LukGudPlayGud banned Anubis,L8R H8R banned Nuke,L8R H8R banned Overpass,LukGudPlayGud banned Ancient,Inferno picked by default
Ape Cage banned Ancient,LukGudPlayGud banned Anubis,LukGudPlayGud banned Nuke,Ape Cage banned Vertigo,Ape Cage banned Overpass,LukGudPlayGud banned Mirage,Inferno picked by default
Brick Layers banned Mirage,LukGudPlayGud banned Ancient,LukGudPlayGud banned Vertigo,Brick Layers banned Overpass,Brick Layers banned Nuke,LukGudPlayGud banned Anubis,Inferno picked by default
Yam Squad banned Nuke,LukGudPlayGud banned Anubis,LukGudPlayGud banned Overpass,Yam Squad banned Mirage,Yam Squad banned Vertigo,LukGudPlayGud banned Ancient,Inferno picked by default
