row,veto_data
42,"['1. onliners banned Vertigo', '2. LukGudPlayGud banned Ancient', '3. LukGudPlayGud banned Anubis', '4. onliners banned Nuke', '5. onliners banned Dust2', '6. LukGudPlayGud banned Mirage', '7. Inferno picked by default']"
83,"['1. onliners banned Vertigo', '2. Algorithm 16 banned Inferno', '3. Algorithm 16 banned Dust2', '4. onliners banned Nuke', '5. onliners banned Mirage', '6. Algorithm 16 banned Anubis', '7. Ancient picked by default']"
112,"['1. Steamy Shooters banned Mirage', '2. onliners banned Vertigo', '3. onliners banned Nuke', '4. Steamy Shooters banned Dust2', '5. Steamy Shooters banned Ancient', '6. onliners banned Inferno', '7. Anubis picked by default']"
141,"['1. NoPression banned Anubis', '2. onliners banned Vertigo', '3. onliners banned Nuke', '4. NoPression banned Mirage', '5. NoPression banned Ancient', '6. onliners banned Dust2', '7. Inferno picked by default']"
170,"['1. onliners banned Vertigo', '2. Tempr Rising banned Inferno', '3. Tempr Rising banned Mirage', '4. onliners banned Dust2', '5. onliners banned Nuke', '6. Tempr Rising banned Ancient', '7. Anubis picked by default']"
199,"['1. onliners banned Vertigo', '2. Swingers banned Dust2', '3. Swingers banned Ancient', '4. onliners banned Mirage', '5. onliners banned Nuke', '6. Swingers banned Inferno', '7. Anubis picked by default']"
228,"['1. onliners banned Vertigo', '2. Pawer KamBak banned Nuke', '3. Pawer KamBak banned Anubis', '4. onliners banned Dust2', '5. onliners banned Inferno', '6. Pawer KamBak banned Ancient', '7. Mirage picked by default']"
257,"['1. onliners banned Vertigo', '2. L8R H8R banned Inferno', '3. L8R H8R banned Mirage', '4. onliners banned Dust2', '5. onliners banned Nuke', '6. L8R H8R banned Ancient', '7. Anubis picked by default']"
286,"['1. onliners banned Vertigo', '2. AfterHours Club banned Nuke', '3. AfterHours Club banned Dust2', '4. onliners banned Inferno', '5. onliners banned Mirage', '6. AfterHours Club banned Anubis', '7. Ancient picked by default']"
315,"['1. Gruv Co banned Ancient', '2. onliners banned Vertigo', '3. onliners banned Nuke', '4. Gruv Co banned Inferno', '5. Gruv Co banned Anubis', '6. onliners banned Dust2', '7. Mirage picked by default']"
