match_type,team_type,veto1,veto2,veto3,veto4,veto5,veto6,veto7
1,0,Ancient,Vertigo,Anubis,Inferno,Dust2,Nuke,Mirage
1,0,Ancient,Inferno,Nuke,Anubis,Vertigo,Dust2,Mirage
1,0,Ancient,Vertigo,Anubis,Inferno,Dust2,Mirage,Nuke
1,0,Ancient,Mirage,Vertigo,Anubis,Dust2,Nuke,Inferno
1,1,Nuke,Dust2,Ancient,Vertigo,Mirage,Inferno,Anubis
3,1,Dust2,Ancient,Nuke,Mirage,Vertigo,Inferno,Anubis
3,0,Ancient,Vertigo,Anubis,Inferno,Dust2,Nuke,Mirage
3,0,Vertigo,Anubis,Inferno,Ancient,Dust2,Nuke,Mirage
3,1,Vertigo,Ancient,Inferno,Dust2,Nuke,Anubis,Mirage
1,1,Vertigo,Ancient,Nuke,Overpass,Mirage,Inferno,Anubis
1,1,Anubis,Ancient,Inferno,Vertigo,Overpass,Nuke,Mirage
1,1,Mirage,Ancient,Inferno,Overpass,Nuke,Vertigo,Anubis
1,1,Inferno,Vertigo,Ancient,Nuke,Overpass,Anubis,Mirage
1,0,Inferno,Overpass,Mirage,Vertigo,Ancient,Anubis,Nuke
1,0,Inferno,Vertigo,Anubis,Ancient,Mirage,Nuke,Overpass
1,0,Nuke,Inferno,Anubis,Ancient,Overpass,Mirage,Vertigo
1,1,Ancient,Nuke,Anubis,Inferno,Overpass,Vertigo,Mirage
1,1,Mirage,Ancient,Overpass,Inferno,Anubis,Nuke,Vertigo
1,1,Ancient,Nuke,Inferno,Vertigo,Overpass,Anubis,Mirage
1,0,Ancient,Overpass,Inferno,Nuke,Vertigo,Anubis,Mirage
1,0,Ancient,Inferno,Mirage,Overpass,Vertigo,Nuke,Anubis
3,0,Mirage,Nuke,Anubis,Inferno,Ancient,Vertigo,Overpass
3,1,Overpass,Ancient,Mirage,Inferno,Anubis,Nuke,Vertigo
1,1,Overpass,Inferno,Ancient,Mirage,Anubis,Vertigo,Nuke
1,1,Ancient,Inferno,Mirage,Anubis,Vertigo,Nuke,Overpass
1,1,Overpass,Inferno,Ancient,Nuke,Mirage,Vertigo,Anubis
1,1,Nuke,Inferno,Ancient,Overpass,Mirage,Vertigo,Anubis
1,1,Anubis,Ancient,Vertigo,Overpass,Nuke,Inferno,Mirage
1,1,Inferno,Vertigo,Mirage,Overpass,Nuke,Ancient,Anubis
1,0,Inferno,Anubis,Nuke,Ancient,Mirage,Vertigo,Overpass
1,0,Inferno,Mirage,Anubis,Ancient,Nuke,Vertigo,Overpass
1,1,Nuke,Inferno,Mirage,Vertigo,Overpass,Ancient,Anubis
1,0,Inferno,Ancient,Anubis,Mirage,Vertigo,Nuke,Overpass
1,1,Overpass,Mirage,Inferno,Nuke,Anubis,Ancient,Vertigo
1,1,Vertigo,Inferno,Mirage,Overpass,Ancient,Anubis,Nuke
1,1,Nuke,Inferno,Mirage,Vertigo,Anubis,Ancient,Overpass
1,0,Mirage,Overpass,Vertigo,Inferno,Anubis,Ancient,Nuke
1,1,Inferno,Mirage,Ancient,Nuke,Anubis,Vertigo,Overpass
1,1,Mirage,Inferno,Anubis,Nuke,Vertigo,Ancient,Overpass
1,0,Mirage,Inferno,Overpass,Anubis,Vertigo,Ancient,Nuke
1,1,Vertigo,Anubis,Inferno,Nuke,Overpass,Ancient,Mirage
1,1,Inferno,Anubis,Ancient,Mirage,Nuke,Vertigo,Overpass
1,1,Vertigo,Anubis,Ancient,Mirage,Inferno,Overpass,Nuke
