match_type,team_type,veto1,veto2,veto3,veto4,veto5,veto6,veto7
1,1,Nuke,Ancient,Vertigo,Dust2,Mirage,Anubis,Inferno
1,0,Ancient,Dust2,Mirage,Vertigo,Nuke,Inferno,Anubis
1,1,Inferno,Ancient,Mirage,Dust2,Nuke,Vertigo,Anubis
1,0,Ancient,Nuke,Mirage,Vertigo,Anubis,Dust2,Inferno
1,0,Mirage,Inferno,Dust2,Vertigo,Ancient,Anubis,Nuke
1,1,Mirage,Vertigo,Ancient,Inferno,Nuke,Anubis,Dust2
1,1,Mirage,Ancient,Anubis,Vertigo,Inferno,Dust2,Nuke
3,0,Nuke,Vertigo,Inferno,Mirage,Dust2,Ancient,Anubis
3,0,Mirage,Vertigo,Anubis,Inferno,Nuke,Dust2,Ancient
3,1,Vertigo,Nuke,Mirage,Inferno,Ancient,Anubis,Dust2
3,1,Nuke,Mirage,Anubis,Vertigo,Inferno,Dust2,Ancient
1,0,Mirage,Ancient,Inferno,Vertigo,Nuke,Dust2,Anubis
1,0,Mirage,Nuke,Inferno,Overpass,Anubis,Vertigo,Ancient
1,0,Mirage,Vertigo,Anubis,Overpass,Inferno,Ancient,Nuke
1,0,Mirage,Inferno,Vertigo,Overpass,Ancient,Nuke,Anubis
1,0,Mirage,Overpass,Nuke,Inferno,Anubis,Ancient,Vertigo
1,0,Nuke,Overpass,Mirage,Inferno,Anubis,Vertigo,Ancient
1,0,Nuke,Inferno,Mirage,Anubis,Overpass,Vertigo,Ancient
1,0,Nuke,Mirage,Inferno,Ancient,Overpass,Vertigo,Anubis
1,0,Inferno,Mirage,Anubis,Nuke,Overpass,Vertigo,Ancient
1,0,Nuke,Vertigo,Anubis,Mirage,Inferno,Ancient,Overpass
1,0,Inferno,Vertigo,Anubis,Mirage,Nuke,Overpass,Ancient
3,0,Overpass,Nuke,Anubis,Mirage,Ancient,Inferno,Vertigo
3,0,Overpass,Nuke,Anubis,Mirage,Ancient,Inferno,Vertigo
1,0,Mirage,Vertigo,Inferno,Nuke,Overpass,Anubis,Ancient
1,0,Mirage,Vertigo,Ancient,Nuke,Overpass,Anubis,Inferno
1,0,Mirage,Vertigo,Ancient,Nuke,Overpass,Inferno,Anubis
1,0,Inferno,Anubis,Vertigo,Nuke,Mirage,Ancient,Overpass
1,0,Mirage,Inferno,Overpass,Nuke,Vertigo,Anubis,Ancient
1,0,Mirage,Inferno,Ancient,Nuke,Overpass,Anubis,Vertigo
1,0,Mirage,Ancient,Anubis,Nuke,Overpass,Inferno,Vertigo
3,0,Overpass,Inferno,Anubis,Ancient,Mirage,Nuke,Vertigo
3,0,Mirage,Overpass,Ancient,Anubis,Nuke,Inferno,Vertigo
3,0,Mirage,Inferno,Anubis,Ancient,Nuke,Vertigo,Overpass
3,0,Mirage,Inferno,Anubis,Vertigo,Nuke,Ancient,Overpass
3,1,Nuke,Mirage,Overpass,Ancient,Inferno,Vertigo,Anubis
1,1,Nuke,Mirage,Overpass,Anubis,Ancient,Vertigo,Inferno
1,1,Mirage,Overpass,Inferno,Nuke,Anubis,Vertigo,Ancient
