veto1,veto2,veto3,veto4,veto5,veto6,veto7,match_type,team_type
Vertigo,Inferno,Mirage,Anubis,Dust2,Nuke,Ancient,1,a
Dust2,Vertigo,Mirage,Anubis,Ancient,Nuke,Inferno,1,b
Anubis,Vertigo,Ancient,Inferno,Nuke,Dust2,Mirage,1,b
Vertigo,Dust2,Mirage,Anubis,Nuke,Inferno,Ancient,1,a
Vertigo,Nuke,Inferno,Anubis,Mirage,Dust2,Ancient,3,a
Inferno,Vertigo,Anubis,Nuke,Dust2,Ancient,Mirage,3,b
Vertigo,Anubis,Inferno,Ancient,Nuke,Mirage,Dust2,3,b
Inferno,Vertigo,Anubis,Ancient,Nuke,Mirage,Dust2,3,b
Vertigo,Mirage,Overpass,Ancient,Anubis,Nuke,Inferno,1,b
Mirage,Vertigo,Overpass,Inferno,Nuke,Ancient,Anubis,1,b
Vertigo,Inferno,Nuke,Mirage,Overpass,Anubis,Ancient,1,a
Vertigo,Overpass,Nuke,Mirage,Ancient,Inferno,Anubis,1,a
Inferno,Vertigo,Mirage,Anubis,Nuke,Overpass,Ancient,1,b
Mirage,Anubis,Vertigo,Inferno,Overpass,Nuke,Ancient,1,b
Mirage,Vertigo,Anubis,Nuke,Overpass,Ancient,Inferno,1,b
Ancient,Anubis,Nuke,Vertigo,Overpass,Mirage,Inferno,1,b
Mirage,Ancient,Vertigo,Overpass,Nuke,Anubis,Inferno,1,b
Nuke,Anubis,Overpass,Mirage,Vertigo,Ancient,Inferno,1,b
