match_type,team_type,veto1,veto2,veto3,veto4,veto5,veto6,veto7
1,1,Nuke,Dust2,Mirage,Vertigo,Anubis,Inferno,Ancient
1,1,Vertigo,Mirage,Nuke,Dust2,Inferno,Anubis,Ancient
1,1,Nuke,Dust2,Mirage,Ancient,Vertigo,Inferno,Anubis
1,0,Dust2,Vertigo,Ancient,Mirage,Nuke,Inferno,Anubis
1,0,Mirage,Vertigo,Inferno,Dust2,Anubis,Ancient,Nuke
1,1,Anubis,Dust2,Mirage,Nuke,Inferno,Vertigo,Ancient
3,0,Dust2,Vertigo,Anubis,Inferno,Mirage,Nuke,Ancient
3,0,Anubis,Ancient,Vertigo,Nuke,Inferno,Mirage,Dust2
1,1,Ancient,Nuke,Inferno,Overpass,Anubis,Mirage,Vertigo
1,1,Mirage,Inferno,Anubis,Nuke,Overpass,Ancient,Vertigo
1,1,Nuke,Mirage,Inferno,Anubis,Ancient,Overpass,Vertigo
1,1,Ancient,Mirage,Inferno,Anubis,Vertigo,Nuke,Overpass
1,1,Ancient,Mirage,Anubis,Nuke,Vertigo,Inferno,Overpass
1,0,Nuke,Mirage,Overpass,Inferno,Anubis,Vertigo,Ancient
1,1,Vertigo,Inferno,Overpass,Mirage,Ancient,Nuke,Anubis
1,0,Inferno,Ancient,Mirage,Overpass,Nuke,Vertigo,Anubis
1,0,Overpass,Vertigo,Inferno,Anubis,Ancient,Nuke,Mirage
1,1,Nuke,Mirage,Overpass,Inferno,Vertigo,Anubis,Ancient
1,1,Nuke,Overpass,Mirage,Inferno,Vertigo,Anubis,Ancient
1,1,Anubis,Overpass,Nuke,Inferno,Vertigo,Mirage,Ancient
3,1,Mirage,Inferno,Anubis,Overpass,Vertigo,Nuke,Ancient
3,1,Anubis,Inferno,Vertigo,Ancient,Nuke,Mirage,Overpass
3,1,Ancient,Inferno,Anubis,Nuke,Vertigo,Mirage,Overpass
1,1,Nuke,Inferno,Overpass,Vertigo,Mirage,Anubis,Ancient
1,1,Mirage,Inferno,Anubis,Vertigo,Nuke,Overpass,Ancient
1,0,Vertigo,Nuke,Inferno,Mirage,Ancient,Overpass,Anubis
1,1,Ancient,Overpass,Inferno,Nuke,Anubis,Vertigo,Mirage
1,0,Mirage,Anubis,Inferno,Overpass,Vertigo,Ancient,Nuke
1,0,Vertigo,Anubis,Nuke,Inferno,Mirage,Overpass,Ancient
1,0,Mirage,Anubis,Inferno,Vertigo,Ancient,Nuke,Overpass
1,1,Vertigo,Ancient,Mirage,Inferno,Nuke,Anubis,Overpass
1,1,Anubis,Inferno,Mirage,Nuke,Vertigo,Overpass,Ancient
1,1,Anubis,Inferno,Mirage,Nuke,Ancient,Vertigo,Overpass
1,1,Mirage,Vertigo,Inferno,Nuke,Overpass,Ancient,Anubis
1,1,Anubis,Inferno,Vertigo,Ancient,Nuke,Mirage,Overpass
1,1,Mirage,Vertigo,Inferno,Ancient,Nuke,Overpass,Anubis
1,0,Vertigo,Inferno,Ancient,Anubis,Mirage,Overpass,Nuke
1,1,Mirage,Vertigo,Inferno,Nuke,Ancient,Overpass,Anubis
1,1,Nuke,Vertigo,Inferno,Mirage,Overpass,Anubis,Ancient
3,1,Anubis,Inferno,Mirage,Nuke,Vertigo,Ancient,Overpass
3,1,Mirage,Inferno,Anubis,Nuke,Ancient,Vertigo,Overpass
3,1,Ancient,Inferno,Anubis,Overpass,Mirage,Vertigo,Nuke
3,1,Vertigo,Inferno,Ancient,Mirage,Anubis,Nuke,Overpass
1,1,Overpass,Vertigo,Ancient,Inferno,Nuke,Anubis,Mirage
1,1,Nuke,Vertigo,Mirage,Inferno,Anubis,Ancient,Overpass
