row,veto_data
41,"['1. Flowsta banned Mirage', '2. execute meso banned Dust2', '3. execute meso banned Vertigo', '4. Flowsta banned Inferno', '5. Flowsta banned Anubis', '6. execute meso banned Nuke', '7. Ancient picked by default']"
149,"['1. Tempest Gaming banned Inferno', '2. execute meso banned Nuke', '3. execute meso banned Vertigo', '4. Tempest Gaming banned Dust2', '5. Tempest Gaming banned Anubis', '6. execute meso banned Mirage', '7. Ancient picked by default']"
233,"['1. execute meso banned Anubis', '2. ZomblersAcademy banned Vertigo', '3. ZomblersAcademy banned Ancient', '4. execute meso banned Mirage', '5. execute meso banned Dust2', '6. ZomblersAcademy banned Nuke', '7. Inferno picked by default']"
333,"['1. NoPression banned Anubis', '2. execute meso banned Nuke', '3. execute meso banned Vertigo', '4. NoPression banned Inferno', '5. NoPression banned Ancient', '6. execute meso banned Mirage', '7. Dust2 picked by default']"
430,"['1. Pro Lapse banned Nuke', '2. execute meso banned Inferno', '3. execute meso banned Mirage', '4. Pro Lapse banned Dust2', '5. Pro Lapse banned Vertigo', '6. execute meso banned Ancient', '7. Anubis picked by default']"
513,"['1. Victory Royale banned Mirage', '2. execute meso banned Vertigo', '3. execute meso banned Nuke', '4. Victory Royale banned Inferno', '5. Victory Royale banned Dust2', '6. execute meso banned Ancient', '7. Anubis picked by default']"
608,['']
700,['']
791,"['1. execute meso banned Nuke', '2. Les Bowlcuts banned Ancient', '3. Anubis picked by execute meso', '4. Mirage picked by Les Bowlcuts', '5. execute meso banned Dust2', '6. Les Bowlcuts banned Vertigo', '7. Inferno picked by default']"
888,[]
969,"['1. execute meso banned Vertigo', '2. Ohio Meat Wagon banned Anubis', '3. Inferno picked by execute meso', '4. Mirage picked by Ohio Meat Wagon', '5. execute meso banned Nuke', '6. Ohio Meat Wagon banned Dust2', '7. Ancient picked by default']"
1063,"['1. execute meso banned Nuke', '2. Scrimless banned Vertigo', '3. Inferno picked by execute meso', '4. Dust2 picked by Scrimless', '5. execute meso banned Mirage', '6. Scrimless banned Ancient', '7. Anubis picked by default']"
1160,"['1. Hoes Mad banned Mirage', '2. execute meso banned Nuke', '3. Ancient picked by Hoes Mad', '4. Anubis picked by execute meso', '5. Hoes Mad banned Vertigo', '6. execute meso banned Dust2', '7. Inferno picked by default']"
1327,"['1. execute meso banned Mirage', '2. PodStolom Gmng banned Overpass', '3. PodStolom Gmng banned Inferno', '4. execute meso banned Vertigo', '5. execute meso banned Ancient', '6. PodStolom Gmng banned Nuke', '7. Anubis picked by default']"
1498,"['1. execute meso banned Vertigo', '2. Scrimless banned Mirage', '3. Scrimless banned Overpass', '4. execute meso banned Nuke', '5. execute meso banned Ancient', '6. Scrimless banned Inferno', '7. Anubis picked by default']"
1677,"['1. execute meso banned Vertigo', '2. Desire 2 Excel banned Overpass', '3. Desire 2 Excel banned Mirage', '4. execute meso banned Nuke', '5. execute meso banned Ancient', '6. Desire 2 Excel banned Anubis', '7. Inferno picked by default']"
1835,[]
1992,"['1. execute meso banned Vertigo', '2. PugStars banned Anubis', '3. PugStars banned Overpass', '4. execute meso banned Nuke', '5. execute meso banned Mirage', '6. PugStars banned Ancient', '7. Inferno picked by default']"
2175,"['1. execute meso banned Vertigo', '2. CarbonX Academy banned Nuke', '3. CarbonX Academy banned Inferno', '4. execute meso banned Ancient', '5. execute meso banned Mirage', '6. CarbonX Academy banned Anubis', '7. Overpass picked by default']"
